,brand,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
0,Maruti,2014,13.017002861746503,145500,Diesel,Individual,Manual,1,23.4,1248.0,74.0,5.0
1,Skoda,2014,12.821258284620408,120000,Diesel,Individual,Manual,2,21.14,1498.0,103.52,5.0
2,Honda,2006,11.970350312009105,140000,Petrol,Individual,Manual,3,17.7,1497.0,78.0,5.0
3,Hyundai,2010,12.323855681186558,127000,Diesel,Individual,Manual,1,23.0,1396.0,90.0,5.0
4,Maruti,2007,11.77528972943772,120000,Petrol,Individual,Manual,1,16.1,1298.0,88.2,5.0
5,Hyundai,2017,12.994530005894443,45000,Petrol,Individual,Manual,1,20.14,1197.0,81.86,5.0
7,Maruti,2001,10.714417768752456,5000,Petrol,Individual,Manual,2,16.1,796.0,37.0,4.0
8,Toyota,2011,12.765688433465597,90000,Diesel,Individual,Manual,1,23.59,1364.0,67.1,5.0
9,Ford,2013,12.206072645530174,169000,Diesel,Individual,Manual,1,20.0,1399.0,68.1,5.0
10,Renault,2014,13.122363377404328,68000,Diesel,Individual,Manual,2,19.01,1461.0,108.45,5.0
11,Maruti,2005,11.429543856031177,100000,Petrol,Individual,Manual,2,17.3,993.0,60.0,5.0
12,Maruti,2009,12.542544882151386,140000,Diesel,Individual,Manual,2,19.3,1248.0,73.9,5.0
13,Maruti,2007,12.206072645530174,80000,Petrol,Individual,Manual,2,,,,
14,Maruti,2009,12.100712129872347,90000,Petrol,Individual,Manual,2,18.9,1061.0,67.0,5.0
15,Mahindra,2016,12.89921982609012,40000,Petrol,Individual,Manual,1,18.15,1198.0,82.0,5.0
16,Maruti,2016,13.564481803160529,70000,Diesel,Individual,Manual,2,24.52,1248.0,88.5,7.0
17,Hyundai,2012,13.122363377404328,53000,Diesel,Individual,Manual,2,23.0,1396.0,90.0,5.0
18,Maruti,2002,11.918390573078392,80000,Petrol,Individual,Manual,2,19.7,796.0,46.3,5.0
19,Hyundai,2016,13.42984807715229,100000,Diesel,Individual,Manual,1,22.54,1396.0,88.73,5.0
20,Mahindra,2011,12.066810578196666,100000,Diesel,Individual,Manual,2,21.0,1461.0,64.1,5.0
21,Honda,2017,13.764217263576723,50000,Diesel,Individual,Manual,1,25.5,1498.0,98.6,5.0
22,Maruti,2015,13.17115354157376,40000,Diesel,Individual,Manual,1,26.59,1248.0,74.0,5.0
23,Maruti,2012,13.304684934198283,72000,Diesel,Individual,Manual,1,21.5,1248.0,88.8,5.0
24,Tata,2018,13.122363377404328,35000,Petrol,Individual,Manual,1,20.3,1199.0,83.81,5.0
25,Maruti,2016,13.262125319779487,45000,Petrol,Individual,Manual,1,21.4,1197.0,83.1,5.0
26,Maruti,2017,12.524526376648708,28000,Petrol,Individual,Manual,1,24.7,796.0,47.3,5.0
27,Chevrolet,2013,12.611537753638338,70000,Diesel,Individual,Manual,1,18.2,1248.0,73.8,7.0
28,Maruti,2009,12.301382825334498,120000,Petrol,Individual,Manual,1,18.9,1061.0,67.0,5.0
29,Maruti,2018,12.449014902564246,25000,Petrol,Individual,Manual,1,16.8,796.0,34.2,8.0
30,Maruti,2017,13.415032991367148,70000,Diesel,Individual,Manual,1,24.3,1248.0,88.5,5.0
31,Fiat,2003,11.156250521031495,50000,Petrol,Individual,Manual,2,,,,
32,Maruti,2012,11.918390573078392,35000,Petrol,Individual,Manual,2,14.0,796.0,35.0,5.0
33,Hyundai,2018,13.500799813124575,2388,Petrol,Individual,Manual,1,18.6,1197.0,81.83,5.0
34,Maruti,2017,13.38472764187182,16200,Diesel,Individual,Manual,1,24.3,1248.0,88.5,5.0
36,Maruti,2019,12.810388612383504,15000,Petrol,Individual,Manual,1,23.95,998.0,67.1,5.0
37,Hyundai,2019,13.954402556830892,5000,Petrol,Individual,Manual,1,17.0,1591.0,121.3,5.0
38,Datsun,2016,11.918390573078392,42000,Petrol,Individual,Manual,1,20.63,1198.0,67.0,5.0
39,Tata,2011,12.959844447906553,60000,Diesel,Individual,Manual,2,13.93,2179.0,138.03,7.0
40,Maruti,2012,11.918390573078392,76000,Petrol,Individual,Manual,1,16.1,796.0,37.0,4.0
41,Jeep,2019,14.557447902693651,5000,Petrol,Individual,Automatic,1,16.0,1368.0,160.77,5.0
42,Honda,2018,13.737549016494562,28900,Petrol,Dealer,Manual,1,17.8,1497.0,117.3,5.0
43,Honda,2013,12.959844447906553,86300,Petrol,Dealer,Manual,1,16.8,1497.0,116.3,5.0
44,Maruti,2018,13.422467969854667,23300,Petrol,Dealer,Automatic,1,18.5,1197.0,83.14,5.0
45,Maruti,2018,13.617058399727497,32600,Diesel,Dealer,Manual,1,24.3,1248.0,88.5,5.0
46,Maruti,2018,12.873902018105829,10300,Petrol,Dealer,Manual,1,23.95,998.0,67.05,5.0
47,Toyota,2014,14.22097566607244,77000,Diesel,Dealer,Manual,1,12.55,2982.0,168.5,7.0
48,Toyota,2013,13.458835614025542,99000,Diesel,Dealer,Manual,1,12.99,2494.0,100.0,7.0
49,Mercedes-Benz,2014,14.187074114396758,27800,Diesel,Dealer,Automatic,2,14.8,2143.0,120.7,5.0
50,Honda,2015,12.959844447906553,49800,Diesel,Dealer,Manual,1,24.7,1498.0,98.63,5.0
51,Mitsubishi,2013,13.901688254205327,151000,Diesel,Dealer,Manual,1,13.5,2477.0,175.56,7.0
52,Honda,2015,13.304684934198283,54700,Diesel,Dealer,Manual,1,26.0,1498.0,98.6,5.0
53,Maruti,2018,13.652991628466498,64000,Petrol,Dealer,Manual,1,20.65,1462.0,103.25,5.0
54,Honda,2015,13.17115354157376,63000,Diesel,Dealer,Manual,1,27.3,1498.0,98.6,5.0
55,Toyota,2016,14.316285845876763,127700,Diesel,Dealer,Automatic,2,11.36,2755.0,171.5,7.0
56,Toyota,2016,13.764217263576723,99000,Diesel,Dealer,Manual,1,12.99,2494.0,100.6,7.0
57,Audi,2013,14.375126345899696,33900,Diesel,Dealer,Automatic,2,17.68,1968.0,174.33,5.0
58,Toyota,2018,14.279244574196415,25000,Petrol,Dealer,Automatic,1,14.28,1798.0,138.03,5.0
59,Audi,2013,14.340238495183105,50000,Diesel,Dealer,Automatic,1,18.53,1968.0,187.74,5.0
60,Mercedes-Benz,2013,14.169682371684887,59000,Diesel,Dealer,Automatic,1,14.84,2143.0,170.0,5.0
61,Tata,2011,12.487485104968359,120000,Diesel,Individual,Manual,1,21.12,1248.0,88.8,5.0
62,Hyundai,2011,12.154779351142624,110000,Petrol,Individual,Manual,3,20.36,1197.0,78.9,5.0
63,Hyundai,2013,12.959844447906553,60000,Diesel,Individual,Manual,1,21.27,1396.0,88.76,5.0
64,Maruti,2015,13.353475098367715,147000,Diesel,Individual,Manual,2,26.59,1248.0,74.0,5.0
65,Ford,2017,13.304684934198283,25000,Petrol,Individual,Manual,3,18.16,1196.0,86.8,5.0
66,Maruti,2019,13.38472764187182,30000,Petrol,Individual,Manual,1,21.4,1197.0,83.1,5.0
67,Volkswagen,2016,13.199324418540456,40000,Diesel,Individual,Manual,1,22.0,1498.0,108.495,5.0
68,Honda,2015,13.353475098367715,135000,Diesel,Individual,Manual,1,25.1,1498.0,98.6,5.0
69,Maruti,2018,13.012548511397123,30000,Petrol,Individual,Automatic,1,20.51,998.0,67.0,5.0
70,Volkswagen,2017,13.122363377404328,80000,Diesel,Individual,Manual,1,21.66,1498.0,108.62,5.0
71,Maruti,2016,13.521139497361697,70000,Diesel,Individual,Manual,1,24.3,1248.0,88.5,5.0
72,Maruti,2019,13.840203170554645,9850,Diesel,Individual,Automatic,1,24.3,1248.0,88.5,5.0
73,Hyundai,2011,12.367340793126296,60000,Petrol,Individual,Manual,2,20.36,1197.0,78.9,5.0
74,Maruti,2016,13.353475098367715,70000,Diesel,Individual,Manual,1,25.2,1248.0,74.0,5.0
75,Toyota,2015,14.346138809026444,78000,Diesel,Individual,Manual,2,12.55,2982.0,168.5,7.0
76,Maruti,2013,13.017002861746503,120000,Diesel,Individual,Manual,2,22.9,1248.0,74.0,5.0
77,Maruti,2012,13.017002861746503,120000,Petrol,Individual,Manual,2,16.02,1373.0,93.7,7.0
78,Tata,2003,10.819778284410283,70000,Diesel,Individual,Manual,1,,,,
79,Volkswagen,2013,13.017002861746503,170000,Diesel,Individual,Manual,1,20.54,1598.0,103.6,5.0
80,Toyota,2016,13.997832114758229,140000,Diesel,Individual,Manual,1,12.99,2494.0,100.6,8.0
81,Ford,2015,13.321214236149494,90000,Diesel,Individual,Manual,1,22.77,1498.0,98.59,5.0
82,BMW,2016,14.73180128983843,30000,Petrol,Individual,Automatic,2,15.71,1998.0,189.0,5.0
83,Maruti,2017,13.091902108061824,10000,Petrol,Dealer,Manual,1,23.1,998.0,67.04,5.0
84,Datsun,2016,12.524526376648708,49000,Petrol,Dealer,Manual,1,19.02,1198.0,67.05,5.0
85,Maruti,2016,12.66032791780777,32000,Petrol,Dealer,Manual,1,24.7,796.0,47.3,5.0
86,Maruti,2016,12.524526376648708,38000,Petrol,Dealer,Manual,1,24.7,796.0,47.3,5.0
87,Maruti,2015,13.071070083016778,78000,Diesel,Dealer,Manual,1,,,,
